player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Kim Tae-hyeon,Korea Republic,Korea Republic,DF,25,2000,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Dong-gyeong,Korea Republic,Korea Republic,"FW,MF",28,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee Gi-hyuk,Korea Republic,Korea Republic,DF,25,2000,Gangwon FC,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,3,0,,0,1.0,2.0,3.0,-1.0,-0.33,,0.0,2.0,1.0,0.0,2.0,5.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Lee Han-beom,Korea Republic,Korea Republic,DF,23,2002,Midtjylland,3,3,270.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.67,0.0,0.0,,90.0,100.0,90.0,3,0,,0,1.0,2.0,3.0,-1.0,-0.33,,0.0,7.0,2.0,0.0,2.0,3.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Lee Jae-sung,Korea Republic,Korea Republic,FW,33,1992,Mainz 05,2,2,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.54,0.77,0.0,0.0,59.0,43.3,59.0,0,0,,1,1.5,0.0,2.0,-2.0,-1.54,-2.13,0.0,1.0,4.0,1.0,0.0,2.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Lee Kang-in,Korea Republic,Korea Republic,FW,25,2001,PSG,3,3,270.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.33,0.33,0.0,0.33,4.0,1.0,25.0,1.33,0.33,0.0,0.0,90.0,100.0,90.0,3,0,,0,1.0,2.0,3.0,-1.0,-0.33,,0.0,1.0,7.0,0.0,19.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Lee Tae-seok,Korea Republic,Korea Republic,MF,23,2002,Austria Wien,2,2,113.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,57.0,41.9,57.0,0,0,,1,1.5,1.0,1.0,0.0,0.0,0.57,0.0,3.0,1.0,0.0,8.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Oh Hyeon-gyu,Korea Republic,Korea Republic,FW,25,2001,Beşiktaş,3,1,129.0,1.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.7,0.7,4.0,2.0,50.0,2.79,1.4,0.25,0.5,43.0,47.8,73.0,0,2,28.0,0,1.0,1.0,1.0,0.0,0.0,0.64,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Paik Seung-ho,Korea Republic,Korea Republic,MF,29,1997,Birmingham City,3,3,204.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,68.0,75.6,68.0,0,0,,0,1.0,2.0,2.0,0.0,0.0,1.36,0.0,1.0,2.0,0.0,1.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Park Jinseob,Korea Republic,Korea Republic,"DF,MF",30,1995,Zhejiang,2,0,32.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,2.81,2.81,0.0,0.0,16.0,11.9,,0,2,16.0,1,1.5,0.0,0.0,0.0,0.0,0.38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Seol Young-woo,Korea Republic,Korea Republic,MF,27,1998,Red Star,3,3,250.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.72,0.0,0.0,,83.0,92.6,83.0,2,0,,0,1.0,2.0,3.0,-1.0,-0.36,-0.36,0.0,1.0,2.0,4.0,9.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Son Heung-min,Korea Republic,Korea Republic,FW,33,1992,LAFC,3,2,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,14.3,3.73,0.53,0.0,0.0,56.0,62.6,62.0,0,1,45.0,0,1.0,1.0,3.0,-2.0,-1.07,-1.96,0.0,0.0,4.0,2.0,3.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Song Bum-keun,Korea Republic,Korea Republic,GK,28,1997,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yang Hyun-jun,Korea Republic,Korea Republic,"FW,MF",24,2002,Celtic,1,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,4.5,4.5,0.0,0.0,20.0,7.4,,0,1,20.0,2,0.0,0.0,0.0,0.0,0.0,0.36,0.0,1.0,0.0,1.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Alexis Vega,Mexico,Mexico,"FW,MF",28,1997,Toluca,1,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,12.0,2.7,,0,1,12.0,4,3.0,0.0,0.0,0.0,0.0,-1.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Armando González,Mexico,Mexico,FW,23,2003,Guadalajara,1,0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,15.0,3.3,,0,1,15.0,4,3.0,0.0,0.0,0.0,0.0,-1.45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Brian Gutiérrez,Mexico,Mexico,MF,22,2003,Guadalajara,4,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.73,0.0,0.0,,50.0,44.0,68.0,0,2,32.0,1,2.25,3.0,0.0,3.0,1.36,-0.06,0.0,5.0,3.0,0.0,5.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Carlos Acevedo,Mexico,Mexico,GK,30,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
César Huerta,Mexico,Mexico,"FW,MF",25,2000,Anderlecht,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,7.0,1.6,,0,1,7.0,4,3.0,0.0,0.0,0.0,0.0,-1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
César Montes,Mexico,Mexico,DF,29,1997,Loko Moscow,4,4,314.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.29,0.29,0.0,0.0,79.0,69.8,79.0,2,0,,0,2.25,8.0,2.0,6.0,1.72,1.06,0.0,4.0,3.0,0.0,2.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Edson Álvarez,Mexico,Mexico,"MF,DF",28,1997,West Ham,4,2,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.75,0.0,0.0,,60.0,53.3,90.0,2,2,30.0,1,2.25,5.0,1.0,4.0,1.5,0.21,0.0,5.0,2.0,0.0,1.0,3.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,
Erik Lira,Mexico,Mexico,MF,26,2000,Cruz Azul,4,4,345.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,0.0,0.0,,0.0,0.0,,,86.0,76.7,86.0,3,0,,1,2.25,7.0,3.0,4.0,1.04,-1.53,0.0,3.0,4.0,0.0,2.0,2.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Gilberto Mora,Mexico,Mexico,MF,17,2008,Tijuana,4,3,213.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.11,0.0,0.0,,53.0,47.3,63.0,0,1,25.0,1,2.25,6.0,3.0,3.0,1.27,-0.25,0.0,3.0,3.0,0.0,4.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Guillermo Martínez Ayala,Mexico,Mexico,FW,31,1995,UNAM,2,1,72.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,36.0,16.0,62.0,0,1,10.0,3,1.5,2.0,0.0,2.0,2.5,1.31,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Guillermo Ochoa,Mexico,Mexico,GK,40,1985,,1,0,13.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,13.0,2.9,,0,1,13.0,4,3.0,1.0,0.0,1.0,6.92,5.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,
Israel Reyes,Mexico,Mexico,DF,26,2000,América,4,2,202.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.89,0.0,0.0,,51.0,44.9,90.0,2,2,11.0,1,3.0,5.0,0.0,5.0,2.23,1.5,0.0,1.0,0.0,0.0,2.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Jesús Gallardo,Mexico,Mexico,DF,31,1994,Toluca,5,4,373.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.97,0.0,0.0,,75.0,82.9,90.0,4,1,13.0,0,2.4,8.0,3.0,5.0,1.21,-1.13,0.0,7.0,3.0,0.0,16.0,7.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Johan Vásquez,Mexico,Mexico,DF,27,1998,Genoa,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.0,0.0,,90.0,80.0,90.0,4,0,,1,2.25,7.0,3.0,4.0,1.0,-2.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Jorge Sánchez,Mexico,Mexico,DF,28,1997,PAOK,4,4,348.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.26,0.26,0.0,0.26,1.0,1.0,100.0,0.26,0.26,0.0,0.0,87.0,77.3,87.0,3,0,,1,2.25,8.0,3.0,5.0,1.29,-0.47,0.0,5.0,1.0,1.0,6.0,5.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Julián Quiñones,Mexico,Mexico,"FW,MF",29,1997,Al-Qadsiah,5,5,410.0,4.6,4.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.88,0.22,1.1,0.88,1.1,14.0,6.0,42.9,3.07,1.32,0.29,0.67,82.0,91.1,82.0,1,0,,0,2.4,10.0,3.0,7.0,1.54,1.54,0.0,5.0,7.0,1.0,3.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Luis Chávez,Mexico,Mexico,MF,30,1996,Dynamo Moskva,1,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,25.0,5.6,,0,1,25.0,4,3.0,1.0,0.0,1.0,3.6,2.33,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Luis Romo,Mexico,Mexico,MF,31,1995,Guadalajara,4,4,264.0,2.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.34,0.34,0.68,0.34,0.68,3.0,1.0,33.3,1.02,0.34,0.33,1.0,66.0,58.7,66.0,0,0,,1,2.25,6.0,3.0,3.0,1.02,-0.91,0.0,1.0,3.0,0.0,1.0,4.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,
Mateo Chávez,Mexico,Mexico,DF,22,2004,AZ Alkmaar,1,1,77.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.17,0.0,1.17,1.17,1.17,1.0,1.0,100.0,1.17,1.17,1.0,1.0,77.0,17.1,77.0,0,0,,4,3.0,2.0,0.0,2.0,2.34,1.13,0.0,1.0,1.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Obed Vargas,Mexico,Mexico,MF,20,2005,Atlético Madrid,3,0,66.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.36,1.36,0.0,0.0,22.0,14.7,,0,3,22.0,2,3.0,1.0,0.0,1.0,1.36,-0.04,0.0,1.0,0.0,0.0,0.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Orbelín Pineda,Mexico,Mexico,"FW,MF",30,1996,AEK Athens,2,0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.9,0.0,0.0,,16.0,6.9,,0,2,16.0,3,3.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Raúl Jiménez,Mexico,Mexico,FW,35,1991,Fulham,4,4,317.0,3.5,3.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.85,0.0,0.85,0.57,0.57,18.0,7.0,38.9,5.11,1.99,0.11,0.29,79.0,70.4,79.0,1,0,,1,2.25,7.0,3.0,4.0,1.14,-0.89,0.0,7.0,2.0,2.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Raúl Rangel,Mexico,Mexico,GK,26,2000,Guadalajara,5,5,437.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,87.0,97.1,87.0,4,0,,0,2.4,9.0,3.0,6.0,1.24,-5.69,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,5.0,5.0,437.0,3.0,0.62,11.0,8.0,72.7,4.0,0.0,1.0,4.0,80.0,1.0,1.0,0.0,0.0,0.0
Roberto Alvarado,Mexico,Mexico,"FW,MF",27,1998,Guadalajara,5,5,428.0,4.8,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.63,0.0,0.63,5.0,0.0,0.0,1.05,0.0,0.0,,86.0,95.1,86.0,3,0,,0,2.4,10.0,3.0,7.0,1.47,1.47,0.0,3.0,5.0,1.0,36.0,2.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Santiago Giménez,Mexico,Mexico,FW,25,2001,Milan,4,0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,2.09,1.05,0.0,0.0,22.0,19.1,,0,4,22.0,1,2.25,2.0,0.0,2.0,2.09,0.86,0.0,1.0,3.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Álvaro Fidalgo,Mexico,Mexico,MF,29,1997,Real Betis,3,1,96.0,1.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94,3.0,2.0,66.7,2.81,1.87,0.33,0.5,32.0,21.3,65.0,0,2,16.0,2,2.0,2.0,0.0,2.0,1.87,0.6,0.0,0.0,2.0,0.0,4.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Achraf Hakimi,Morocco,Morocco,DF,27,1998,PSG,6,6,570.0,6.3,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.16,0.32,0.47,0.16,0.47,14.0,4.0,28.6,2.21,0.63,0.07,0.25,95.0,100.0,95.0,6,0,,0,1.83,10.0,6.0,4.0,0.63,,0.0,7.0,16.0,0.0,35.0,5.0,10.0,,,0.0,,,,,,,,,,,,,,,,,,
Ahmed Reda Tagnaouti,Morocco,Morocco,GK,30,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amine Sbai,Morocco,Morocco,"FW,MF",25,2000,Angers,1,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,6.0,1.1,,0,1,6.0,5,0.0,0.0,0.0,0.0,0.0,-0.64,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Anass Salah-Eddine,Morocco,Morocco,DF,24,2002,PSV,4,2,212.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.42,0.0,0.0,,53.0,37.2,78.0,0,2,29.0,2,1.25,4.0,4.0,0.0,0.0,-1.01,0.0,3.0,2.0,0.0,3.0,0.0,5.0,,,0.0,,,,,,,,,,,,,,,,,,
Ayoub El Kaabi,Morocco,Morocco,FW,32,1993,Olympiacos,1,1,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,3.91,2.61,0.0,0.0,69.0,12.1,69.0,0,0,,5,3.0,2.0,2.0,0.0,0.0,-0.72,0.0,1.0,1.0,3.0,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Ayoube Amaimouni,Morocco,Morocco,MF,21,2004,Frankfurt,2,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,10.0,5.0,0.0,0.0,9.0,3.2,,0,2,9.0,4,2.0,0.0,0.0,0.0,0.0,-0.65,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Ayyoub Bouaddi,Morocco,Morocco,MF,18,2007,Lille,5,5,381.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.71,0.0,0.0,,76.0,66.8,76.0,2,0,,1,1.6,3.0,3.0,0.0,0.0,-1.9,0.0,3.0,6.0,0.0,0.0,1.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Azzedine Ounahi,Morocco,Morocco,MF,26,2000,Girona,6,5,435.0,4.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.41,0.0,0.41,0.41,0.41,5.0,3.0,60.0,1.03,0.62,0.4,0.67,73.0,76.3,83.0,1,1,21.0,0,1.83,6.0,4.0,2.0,0.41,-0.92,0.0,3.0,7.0,0.0,4.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Bilal El Khannouss,Morocco,Morocco,"MF,FW",22,2004,Stuttgart,6,6,461.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,66.7,1.17,0.78,0.0,0.0,77.0,80.9,77.0,1,0,,0,1.83,7.0,5.0,2.0,0.39,-1.26,0.0,5.0,6.0,0.0,10.0,1.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,
Brahim Díaz,Morocco,Morocco,MF,26,1999,Real Madrid,6,6,457.0,5.1,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79,0.79,0.0,0.79,6.0,1.0,16.7,1.18,0.2,0.0,0.0,76.0,80.2,76.0,1,0,,0,1.83,7.0,6.0,1.0,0.2,-2.19,0.0,3.0,10.0,0.0,8.0,4.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Chadi Riad,Morocco,Morocco,DF,22,2003,Crystal Palace,4,4,344.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.0,0.26,1.0,0.0,0.0,0.26,0.0,0.0,,86.0,60.4,86.0,3,0,,2,2.0,6.0,4.0,2.0,0.52,-0.27,0.0,0.0,1.0,0.0,0.0,4.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Chemsdine Talbi,Morocco,Morocco,MF,21,2005,Sunderland,5,1,179.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,2.0,0.0,0.0,1.01,0.0,0.0,,36.0,31.4,84.0,0,4,24.0,1,1.6,3.0,2.0,1.0,0.5,-0.19,0.0,0.0,1.0,0.0,9.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Gessime Yassine,Morocco,Morocco,MF,20,2005,Strasbourg,3,0,80.0,0.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.13,0.0,1.13,1.13,1.13,2.0,1.0,50.0,2.25,1.13,0.5,1.0,27.0,14.0,,0,3,27.0,3,1.33,3.0,0.0,3.0,3.38,3.19,0.0,2.0,3.0,0.0,1.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Ismael Saibari,Morocco,Morocco,FW,25,2001,PSV,5,5,381.0,4.2,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.71,0.71,10.0,3.0,30.0,2.36,0.71,0.3,1.0,76.0,66.8,76.0,1,0,,1,2.2,5.0,4.0,1.0,0.24,-1.19,0.0,8.0,3.0,3.0,5.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Issa Diop,Morocco,Morocco,DF,29,1997,Fulham,5,5,476.0,5.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.19,0.0,0.19,0.19,0.19,1.0,1.0,100.0,0.19,0.19,1.0,1.0,95.0,83.5,95.0,4,0,,1,1.6,5.0,4.0,1.0,0.19,-2.68,0.0,4.0,1.0,0.0,0.0,7.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Marwane Saâdane,Morocco,Morocco,"DF,MF",34,1992,Al-Fateh,1,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,4.0,0.7,,0,1,4.0,5,3.0,1.0,0.0,1.0,22.5,22.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Munir,Morocco,Morocco,GK,37,1989,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil El Aynaoui,Morocco,Morocco,MF,24,2001,Roma,6,6,562.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,28.6,1.12,0.32,0.0,0.0,94.0,98.6,94.0,5,0,,0,1.83,9.0,6.0,3.0,0.48,-10.77,0.0,15.0,7.0,0.0,0.0,8.0,9.0,,,0.0,,,,,,,,,,,,,,,,,,
Noussair Mazraoui,Morocco,Morocco,DF,28,1997,Manchester Utd,6,5,477.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,80.0,83.7,94.0,4,1,8.0,0,1.83,7.0,4.0,3.0,0.57,-0.4,0.0,4.0,6.0,0.0,3.0,2.0,8.0,,,0.0,,,,,,,,,,,,,,,,,,
Redouane Halhal,Morocco,Morocco,DF,23,2003,Mechelen,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,31.6,90.0,2,0,,4,3.0,7.0,2.0,5.0,2.5,2.73,0.0,3.0,5.0,1.0,0.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Samir El Mourabet,Morocco,Morocco,MF,20,2005,Strasbourg,5,0,81.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,16.0,14.2,,0,5,16.0,1,2.2,3.0,0.0,3.0,3.33,3.15,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Sofyan Amrabat,Morocco,Morocco,MF,29,1996,Real Betis,3,1,147.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,49.0,25.8,90.0,1,2,29.0,3,2.0,6.0,3.0,3.0,1.84,1.62,0.0,4.0,2.0,0.0,0.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Soufiane Rahimi,Morocco,Morocco,FW,30,1996,,6,0,163.0,1.8,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.1,0.55,1.66,1.1,1.66,6.0,4.0,66.7,3.31,2.21,0.33,0.5,27.0,28.6,,0,6,27.0,0,1.83,6.0,1.0,5.0,2.76,2.98,0.0,5.0,6.0,2.0,1.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Yassine Bounou,Morocco,Morocco,GK,35,1991,Al-Hilal,6,6,570.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,95.0,100.0,95.0,6,0,,0,1.83,10.0,6.0,4.0,0.63,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,,1.0,6.0,6.0,570.0,6.0,0.95,20.0,14.0,70.0,3.0,2.0,1.0,2.0,33.3,1.0,0.0,1.0,0.0,100.0
